Probe Set Name,Stat Pairs,Stat Pairs Used,Avg Diff,Detection,Detection p-value,Stat Common Pairs,Signal Log Ratio,Signal Log Ratio Low,Avg Diff,Change,Change p-value,Positive,Negative,Pairs,Pairs Used,Pairs InAvg,Pos Fraction,Log Avg,Pos/Neg,Avg Diff,Abs Call,Inc,Dec,Inc Ratio,Dec Ratio,Pos Change,Neg Change,Inc/Dec,DPos-DNeg Ratio,Log Avg Ratio Change,Diff Call,Avg Diff Change,B=A,Fold Change,Sort Score
AFFX-r2-Bs-lys-M_at,11,11,38.1,A,0.19458,11,1.9,-0.4,38.1,NC,0.467656,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-Bs-lys-3_at,11,11,16.8,A,0.219482,11,-1.5,-3.8,16.8,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-Bs-phe-5_at,11,11,3.3,A,0.904785,11,-3.1,-4.1,3.3,NC,0.881991,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-Bs-phe-M_at,11,11,6.6,A,0.80542,11,-2.4,-4.1,6.6,NC,0.60871,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-Bs-phe-3_at,11,11,47.2,A,0.303711,11,1.7,-0.1,47.2,NC,0.366593,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-Bs-thr-3_s_at,11,11,35.7,A,0.633789,11,2.6,1.7,35.7,NC,0.307406,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-Bs-thr-M_s_at,11,11,10,A,0.780518,11,-2.1,-3.9,10,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-Bs-thr-5_s_at,11,11,77,A,0.111572,11,0,-1,77,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-At-U12639_at,11,11,48.7,A,0.366211,11,0.3,-0.8,48.7,NC,0.177412,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-At-Actin-5_s_at,11,11,3610.2,P,0.000244,11,0.6,0.2,3610.2,I,0.000389,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-At-Actin-M_s_at,11,11,5733.2,P,0.000244,11,0.1,-0.3,5733.2,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-At-Actin-3_s_at,11,11,5518.6,P,0.000244,11,-0.1,-0.4,5518.6,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-At-GAPDH-5_s_at,11,11,17027.3,P,0.000244,11,0.3,0.1,17027.3,NC,0.131343,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-At-GAPDH-3_s_at,11,11,21231.8,P,0.000244,11,0.5,0.4,21231.8,NC,0.047264,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-At-Ubq-5_x_at,11,11,23671.3,P,0.000244,11,0.1,-0.1,23671.3,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-r2-At-Ubq-3_x_at,11,11,26910.7,P,0.000244,11,0.2,-0.1,26910.7,NC,0.296089,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-Athal-25SrRNA_s_at,16,16,216.7,P,0.009985,16,3.1,2.3,216.7,I,0.000063,,,,,,,,,,,,,,,,,,,,,,,,
